"id","codigo","dane","colegio","departamento","ciudad","direccion","barrio","telefono","web","correo_i","cumpleaños","cod_zona","sub_zona","zona_madre","responsable","id_calendario","id_segmento","id_usuario","fecha_creacion"
"1028","370001003846","370001003846","C.E.HAPPY PLANET SCHOOL SAS","29","Sincelejo","CL 34 30 14",,"2790629",,,"0000-00-00","74720180","5",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1029","370001038852","370001038852","CENTRO EDUCATIVO COLINA CAMPESTRE GARABATOS SCHOOL","29","Sincelejo","KR 34 38 153",,"2801374",,,"0000-00-00","74720180","5",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1030","370001001649","370001001649","CENTRO EDUCATIVO EL PARAÍSO","29","Sincelejo","KR 17 13 138",,"2824153-2824764-3168",,,"0000-00-00","74720180","5",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1031","370001039395","370001039395","CENTRO EDUCATIVO LICEO PANAMERICANO","29","Sincelejo","Calle 20 #20-62",,"2820926-2769061",,,"0000-00-00","74720180","5",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1032","370001039247","370001039247","CENTRO EDUCATIVO MODELO DEL SABER","29","Sincelejo","CL 14 17 A 53","Barrio Ford","2822294",,,"0000-00-00","74720180","5",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1033","370001039271","370001039271","CENTRO EDUCATIVO PARAISO DEL SABER","29","Sincelejo","KR 6 31 31",,"2745692-3043969356",,,"0000-00-00","74720180","5",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1034","370001000057","370001000057","COLEGIO NUESTRA SEÑORA DE LAS MERCEDES","29","Sincelejo","Calle 38 333-210",,"2800800",,,"0000-00-00","74720180","5",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1035","370001002351","370001002351","GIMNASIO JEAN PIAGET","29","Sincelejo","IND CRA 36 # 24 - 47",,"2800431",,,"0000-00-00","74720180","5",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1036","370001038577","370001038577","INSTITUCION EDUCATIVA COLEGIO ALTAIR BILINGUE","29","Sincelejo","IND KM 1 LOS ALPES",,"2800979",,,"0000-00-00","74720180","5",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1037","370001038909","370001038909","INSTITUCION EDUCATIVA COMFASUCRE","29","Sincelejo","Calle 28#6E-07",,"2804943",,,"0000-00-00","74720180","5",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1038","370001002882","370001002882","LICEO MODERNO DEL CARIBE","29","Sincelejo","MZ 69 LT 8 Y 11",,"3012514670",,,"0000-00-00","74720180","5",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1039","370215000267","370215000267","COLEGIO PESTALOZZIANO","29","Corozal","CLL 30 NO 32 C -122",,"2840709",,,"0000-00-00","74720180","5",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1040","323162000474","323162000474","COL DIOCESANO PABLO VI","14","Cerete","Calle 9#8B-32",,"7744635",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1041","123162001692","123162001692","GIMNASIO VALLE DEL SINU","14","Cerete","KR 19 8 55",,"7747667 3167583641",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1042","323162000873","323162000873","LICEO LEON DE GREIFF","14","Cerete","CL 10 73 8",,"7644385",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1043","323162000997","323162000997","LICEO MONTESSORY","14","Cerete","arrera 9#19-10",,"7745019",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1044","323466000951","323466000951","FUNDACION EDUCATIVA DE MONTELIBANO","14","Montelibano","IND KATUMA KR 5",,"7624418-3163116502",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1045","323555007969","323555007969","COLEGIO DIOCESANO JUAN PABLO II","14","Planeta Rica","CL 18 4 G 175",,"3116888447 - 3216988",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1046","323555008221","323555008221","GIMN VALLE DEL SAN JORGE","14","Planeta Rica","Calle 20#13-39",,"3174048334",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1047","323001001136","323001001136","COL DE LA SGDA FAMILIA","14","Monteria","Calle 64A Cra 7",,"7850334",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1048","323001006405","323001006405","COL DIOCESANO JUAN PABLO II","14","Monteria","KR 7 22 73",,"7821082-7827406",,,"0000-00-00","74720180","7",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1049","323001000121","368001005747","COL LA SALLE","28","BUCARAMANGA","CL 67 24 24","BUCARAMANGA","3203001510",,,"0000-00-00","6767867","26",,"CESAR GONZALEZ","1","0","34","2024-09-17 16:42:04"
"1050","323001005778","323001005778","COLEGIO BRITANICO DE MONTERIA MS S.A.S","14","Monteria","CALLE 65 #9-100","LOS ALCACERES","7852055",,,"0000-00-00","74720180","7",,"Jose Romero","2","0","34","2024-09-05 11:32:50"
"1051","323001006944","323001006944","COLEGIO LATINO","14","Monteria","MZ 159 LT 13 E 16",,"3013903065",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1052","323001008106","323001008106","GIMN ALBORADA","14","Monteria","Calle 43#10-12",,"3016060258",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1053","323001007843","323001007843","GIMN CAMPESTRE","14","Monteria","IND CALLE 78 VEREDA SEVILLA",,"7910795 - 3106823865",,,"0000-00-00","74720180","7",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1054","323001006901","323001006901","GIMN PEQUEÑOS GENIOS","14","Monteria","MZ 3 LT 4",,"3135450178",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1055","323001006120","323001006120","GIMN SERRANIAS","14","Monteria","Calle 15#4-62",,"7836531",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1056","323001009471","323001009471","GIMNASIO AVENTURAS DEL SABER","14","Monteria","IND MZ 49 LT 14 5A ET",,"7834689 - 3218536172",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1057","323001007932","323001007932","GIMNASIO CORDILLERAS","14","Monteria","CL 19 20 42",,"0",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1058","323001004178","323001004178","GIMNASIO VALLEGRANDE","14","Monteria","Carrera 10#60-20",,"7850020 - 3157467103",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1059","323001006171","323001006171","GINM EL RECREO","14","Monteria","KR 3 69 55 BR EL RECREO",,"7850962",,,"0000-00-00","74720180","7",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1060","323001003449","323001003449","LIC MAXIMO MERCADO","14","Monteria","carrera 8a #14-79","Buenavista","7894762",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1061","323001007011","323001007011","LIC PUPO JIMENEZ","14","Monteria","Carrera 6#35-39",,"7823705",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1062","323001001187","323001001187","LIC SAMARIA","14","Monteria","IND DG 12 # 32-14 EDMUNDO LOPEZ 4 ETAPA","EDMUNDO LOPEZ","7928106",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1063","123001007372","123001007372","LICEO JUAN MANUEL MENDEZ BECHARA","14","Monteria","Carrera 5 #27-54","Centro","3126287645",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1065","323001002311","323001002311","LICEO MONTERIA","14","Monteria","KR 14 A 33 34",,"7811517",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1066","323001008467","323001008467","WINDSOR ROYAL SCHOOL","14","Monteria","Calle 58 #7-60",,"7852812",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1067","320228017382","320228017382","INSTITUCION EDUCATIVA SAN PABLO","12","Curumani","Cl. 10 #11-15",,"311 6331238",,,"0000-00-00","74720180","4",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1068","320001001544","320001001544","COL. COLOMBO INGLES","12","Valledupar","CL 11 17 66",,"5737411 - 3176678777",,,"0000-00-00","74720180","4",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1069","320001002753","320001002753","COL. FUND. BILING . DE VALLEDUPAR","12","Valledupar","calle 3 #19B -105",,"5737023",,,"0000-00-00","74720180","4",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1070","520001000203","520001000203","COL. LA PRESENTACION","12","Valledupar","CALLE 18B NO 4-55",,"310354899",,,"0000-00-00","74720180","4",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1071","320001069581","320001069581","COL. PABLO SEXTO","12","Valledupar","CL 13 A 6 88",,"5606171 - 5898319",,,"0000-00-00","74720180","4",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1072","320001002486","320001002486","COL. PARROQUIAL EL CARMELO","12","Valledupar","Carrera 6#19A-67",,"5744801",,,"0000-00-00","74720180","4",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1073","320001068410","320001068410","COLEGIO DIVINA PASTORA","12","Valledupar","CALLE 15 N° 39 - 110",,"5843493-3172941110",,,"0000-00-00","74720180","4",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1074","320001066891","320001066891","COLEGIO LA SABIDURÍA","12","Valledupar","Calle 28#5c-25","Santa Rosa","3218758913",,,"0000-00-00","74720180","4",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1075","320001000068","368081002336","COLEGIO LA SAGRADA FAMILIA","6","el carmen de bolivar","KR 59 CL 22 22","CENTRO","6860806	",,,"0000-00-00","74720180","4",,"JUAN CARTLOS MARTINEZ","1","0","34","2024-09-24 16:22:00"
"1076","420001000283","420001000283","COLEGIO NUESTRA SEÑORA DE LAS MERCEDES","12","Valledupar","CL 19 C 18 A 61",,"5713016 5703970",,,"0000-00-00","74720180","4",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1077","320001800129","320001800129","COLEGIO PLAY TIME","12","Valledupar","IND CALLE 7 44-12",,"3128028433",,,"0000-00-00","74720180","4",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1078","320001791812","320001791812","COLEGIO SMART","12","Valledupar","Carrera 12 #11-34",,"322767154",,,"0000-00-00","74720180","4",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1079","320001068151","320001068151","COLEGIO WINDSOR","12","Valledupar","KILOMETRO 2 5",,"5838114",,,"0000-00-00","46788743","17",,"Jorge Montes","1","0","34","2024-09-05 11:32:50"
"1080","320001791839","320001791839","FUNDACIÓN NIÑOS FELICES (HAPPY KIDS)","12","Valledupar","IND CALLE 7A 13 48",,"5843129",,,"0000-00-00","74720180","4",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1081","320001000378","320001000378","GIMSABER","12","Valledupar","Carrera 18#19-25",,"3148761932",,,"0000-00-00","74720180","4",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1082","320001003571","320001003571","COL. SANTA FE","12","Valledupar","CL 19 15 70",,"5712243 - 5712245",,,"0000-00-00","74720180","4",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1083","320001003661","320001003661","REDCOL GIMNASIO DEL NORTE VALLEDUPAR","12","Valledupar","IND VÍA AL RINCON KM 2",,"5856959-5847000",,,"0000-00-00","74720180","4",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1084","344279001037","344279001037","INSTITUTO CRISTO REY","12","Fonseca","Calle 13 #3-45",,"3135884272",,,"0000-00-00","74720180","4",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1085","344279001312","344279001312","CENTRO EDUCATIVO JULIO VASQUEZ S.A.S","12","Fonseca","CL 19 20 42",,"0",,,"0000-00-00","74720180","4",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1086","323660002174","323660002174","GIMNASIO MIXTO CARRUSEL DE LA ALEGRIA","14","Sahagun","Carrera 7#20-45",,"7778856",,,"0000-00-00","74720180","7",,"Arbey perez","1","0","34","2024-09-05 11:32:50"
"1087","323660000015","323660000015","GIMNASIO NUEVO MILENIO","14","Sahagun","Carrera 16#14-56",,"7587843",,,"0000-00-00","74720180","7",,"Juan Carlos martinez","1","0","34","2024-09-05 11:32:50"
"1088","323660002565","323660002565","GIMNASIO PEDAGOGICO DE LA SABANA","14","Sahagun","CL 17 3 61","CENTRO","3146322358",,,"0000-00-00","74720180","7",,"Juan Carlos martinez","1","0","34","2024-09-05 11:32:50"
"1089","323660000929","323660000929","LIC SAHAGUN COOP MIX","14","Sahagun","CALLE 13 #13-40","Centro","3043572213",,,"0000-00-00","74720180","7",,"Jose Romero","1","0","34","2024-09-05 11:32:50"
"1090","323001009315","368001800148","MONTESSORI GLOBAL SCHOOL","14","Monteria","carrera 17 #28-08",,"7956318",,,"0000-00-00","74720180","7",,"JOSE ALFREDO ROMERO","1","0","34","2024-10-09 11:14:42"
"1091","425769060660","425769060660","COLEGIO NUESTRA SEÑORA DEL ROSARIO CAMPESTRE","15","COTA","KM 11 VDA. EL SANTUARIO","COTA","3166280627-314442246",,,"0000-00-00","7773576","27",,"Emery Arias","1","0","32","2024-09-26 16:49:29"
"1092","425175001043","425175001043","COLEGIO SANTO TOMAS DE CHIA","15","CHIA","VEREDA CERCA DE PIEDRA KM 2 VIA COTA","VEREDA CERCA DE PIEDRA KM 2 VIA COTA","8859114-3142379384",,,"0000-00-00","7773576","27",,"Emery Arias","1","0","32","2024-09-24 15:18:45"
"1093","425175000519","425175000519","COL LA INMACULADA","15","CHIA",,,,,,"0000-00-00","7773576","27",,"Emery Arias","1","0","32","2024-09-24 15:18:45"
"1094","325175000026","325175000026","COLEGIO MARIA AUXILIADORA CHIA","15","CHIA",,,,,,"0000-00-00","7773576","27",,"Emery Arias","1","0","32","2024-09-24 15:18:45"
"1095","425175000322","425175000322","COLEGIO JORBALAN","15","CHIA","KM. 22 CARRETERA CENTRAL DEL NORTE","KM. 22 CARRETERA CENTRAL DEL NORTE","6760612-3138290057	",,,"0000-00-00","7773576","27",,"Emery Arias","1","0","32","2024-09-24 15:18:45"
"1096","225126000067","225126000067","INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL RINCON SANTO","15","CAJICA",,,,,,"0000-00-00","7773576","27",,"Emery Arias","1","0","32","2024-09-24 15:18:45"
"1097","325899000745","325899000745","COL SAN LUIS","15","ZIPAQUIRA","carrera 9 1 96",,"6018524060",,"luciaonzaga@hotmail.com","0000-00-00","95608446","0",,,"1","1","32","2024-09-24 15:18:45"
"1098","325899000753","325899000753","GIMNASIO LOS ROBLES DE ZIPAQUIRÁ","15","ZIPAQUIRA","KR 7 7 94","KR 7 7 94","852 2432",,,"0000-00-00","7773576","27",,"Emery Arias","1","0","32","2024-09-24 15:18:45"
"1099","325899090264","325899090264","INSTITUCIÓN EDUCATIVA SAN ALBERTO MAGNO","15","ZIPAQUIRA","CARRERA 23 2-32","CARRERA 23 2 - 32","6018816813",,"procesos@sam.edu.co","0000-00-00","95608446","0",,,"1","1","32","2024-09-24 15:18:45"
"1100","325899001431","325899001431","LIC CATEDRAL HIGH SCHOOL","15","ZIPAQUIRA",,,,,,"0000-00-00","7773576","27",,"Emery Arias","1","0","32","2024-09-24 15:18:45"
"1101","125899000762","125899000762","I.E.M. SANTIAGO PEREZ","15","ZIPAQUIRA","CL 1 21 01","CL 1 21 01","852 28 89",,,"0000-00-00","7773576","27",,"Emery Arias","1","0","32","2024-09-24 15:18:45"
"1102","125899000461","125899000461","I.E.M. CUNDINAMARCA","15","ZIPAQUIRA",,,,,,"0000-00-00","7773576","27",,"Emery Arias","1","0","32","2024-09-24 15:18:45"
"1103","325200002411","325200002411","COLEGIO DIVINO NIÑO","15","COGUA","barrio san jose finca el carpintero",,"6018548888",,"colegio-divino-nino@hotmail.com","0000-00-00","95608446","0",,,"1","1","32","2024-09-24 15:18:45"
"1105","125322000429","125322000429","INSTITUCION EDUCATIVA DEPARTAMENTAL DOMINGO SAVIO","15","GUASCA",,,,,,"0000-00-00","7773576","27",,"Emery Arias","1","0","32","2024-09-24 15:18:45"
"1106","425799000599","425799000599","BILINGÜE INTERNACIONAL GIMNASIO CAMPESTRE REINO BRITÁNICO","15","TENJO",,,,,,"0000-00-00","95608446","0",,,"1","0","32","2024-09-24 15:18:45"
"1107","373001000196","373001000196","COL CHAMPAGNAT","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1108","373001000200","373001000200","COL  TOLIMENSE","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1109","373001000650","373001000650","COL  COMFENALCO","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1110","373001000391","373001000391","COLEGIO LA PRESENTACION","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1111","373001011104","373001011104","COL COMFATOLIMA","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1112","373001000081","373001000081","COLEGIO MARÍA INMACULADA","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1113","373001000170","373001000170","COL FRANCISCO JIMENEZ DE CISNEROS","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1114","373001000552","373001000552","COL  ADVENTISTA DE IBAGUE","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1115","373001012844","373001012844","COLEGIO INGLES AMERICANO - SEDE PRINCIPAL","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1116","373001009151","373001009151","COL LOS SAGRADOS CORAZONES","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1117","373001009924","373001009924","COL TEC CARLOS J. HUELGOS","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1118","373001008286","373001008286","COL SAN ISIDRO LABRADOR","30","IBAGUÉ",,,,,,"0000-00-00","74838","10",,"OMAR FONSECA","1","0","50","2024-07-23 15:56:10"
"1119","373001006135","373001006135","COLEGIO BRITANICO INGLES - SEDE PRINCIPAL","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1120","373001004396","373001004396","COL INGLES","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1121","373001011953","373001011953","GIMNASIO LA ARBOLEDA","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1122","373001006411","373001006411","NUEVO LICEO EL CASTILLO","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1123","373001012100","373001012100","LICEO LOS TRINITARIOS","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1124","373001009720","373001009720","GIMNASIO LOS ROBLES","30","IBAGUÉ",,,,,,"0000-00-00",,"0",,,"1","0","50","2024-07-08 09:05:57"
"1125","373001000617","373001000617","LICEO  IBAGUE","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1126","373001012933","373001012933","LICEO PEDAGÓGICO GRANDES EXPLORADORES - SEDE PRINCIPAL","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1127","373001009339","373001009339","LICEO MUSICAL SANTA CECILIA","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1128","373001012577","373001012577","LOS SAMANES - SEDE PRINCIPAL","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1129","373001009657","373001009657","COL  CHARLES DICKENS","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1130","373001010248","373001010248","COL  ANDRES BELLO","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
"1131","373001000587","373001000587","COL CASA  EVANGELICA","30","IBAGUÉ",,,,,,"0000-00-00","34875337","10",,"OMAR FONSECA","1","0","50","2024-09-19 08:29:35"
